Product,ProductID,Counts
"13.3"" Apple MacBook White Unibody 2.4GHz Core 2 Duo 8GB RAM 250GB HD MC516LL/A",B00CGBO1I8,2
"15.6"" Gateway® NV59C66u Intel Core i3 Laptop 4GB Notebook 500GB Computer with BLU-RAY",B0048KM876,7
"15.6"" Toshiba Satellite C855D-S5201 AMD Dual-Core E1-1200 4GB RAM 640GB HDD SuperMulti DVD Drive Windows 8 Satin Black Trax",B00EV54BB4,6
15.6IN 3GB/160/WIN 7 64BIT,B002OH39WI,6
406333U Lenovo ThinkPad W500 Mobile Workstation 406333U,B001MEHXJY,4
"ASUS 1015E-DS02 10.1-Inch Laptop (Black), Ubuntu OS",B00COZRNX6,12
"ASUS 15.6"" Laptop 8GB 1TB | N550JA-SB71T",B00ENOTW3U,6
ASUS A53SD-TS71 Core i7 4GB/750GB NVIDIA GT 610M Laptop,B0072VQHM0,3
ASUS A550CA-EB51 15.6-Inch Laptop (Dark Gray),B00D8BQIK4,10
ASUS B400A-XH51 14.1-Inch Laptop (Black),B009S2FZ8I,6
ASUS D450CA-AH21 14-Inch Laptop (Black),B00FSB7PDG,30
ASUS D550MA-DS01 15.6-Inch Laptop (Black ),B00HQZGZ38,42
ASUS F55A-AH91 15.6-Inch Laptop,B009M2XB4Y,128
ASUS F55A-ES01 15.6-Inch Laptop (Black),B00B7JO9YG,50
ASUS G53SX-DH71 Full HD 15.6-Inch Gaming Laptop - Republic of Gamers (Black),B005PAJHU4,25
ASUS G55VW-ES71 15.6-Inch Gaming Notebook (Black),B007Z9WWDW,20
ASUS G60VX-RBBX05 Refurbished Notebook PC,B003UWQHKW,3
ASUS G73SW-A1 Republic of Gamers 17.3-Inch Gaming Laptop (Black),B004I1J864,20
ASUS G73SW-XA1 Republic of Gamers 17.3-Inch Gaming Laptop (Black),B004LRO9AK,49
"ASUS G75 17.3"" i7 12GB/500GB/GTX 660M Win7 NB",B007YHMA0A,4
"ASUS G750JS-RS71 17.3"" i7-4700HQ 2.40GHz 32GB 750GB 7200rpm HDD nVIDIA 3GB 870M FullHD Blu-Ray W8 Gaming Laptop",B00EYNS7YA,5
ASUS G750JW-DB71 17.3-Inch Laptop (Black) 2013 Model,B00COQIKB4,90
ASUS G75VW-DS71 17.3-Inch Laptop (Black),B007Z92SKE,34
ASUS G75VX-BHI7N11 i7-3630QM 3.4GHz GTX 670MX 8GB RAM 1TB HDD Windows 8,B00CN54DJE,6
ASUS K200MA-DS01T 11.6-Inch Touchscreen Laptop (Black),B00HZT1T5E,27
ASUS K200MA-DS01T-BL 11.6-Inch Touchscreen Laptop (Blue),B00HZT1TK4,37
ASUS K50AF-X1 15.6-Inch Versatile Performance Laptop (Black),B003AM7VQQ,19
ASUS K52 Series K52JR-X2 15.6-Inch Laptop (Dark Brown),B0036F8OGI,5
ASUS K52F-A1 15.6-Inch Versatile Entertainment Laptop (Dark Brown),B00342VJ74,17
"ASUS K53E-RIN5 Intel Core i5-2450M 2.5GHz 6GB 750GB DVD+/-RW 15.6"" Win7 (Silver)",B0098MAZ5G,3
ASUS K53SD-DS51 15.6-Inch Laptop (Brown),B006O7FLRK,3
ASUS K550CA-DH31T 15.6-Inch Touchscreen Laptop (Silver Grey),B00EZUZFSS,3
"ASUS K55A Core i5-3210M 2.5GHz 4GB 500GB DVD±RW 15.6"" Win 7 Notebook",B00960AXQQ,10
ASUS K55N-DB81 15.6-Inch Laptop (Black),B00COR29XI,160
ASUS N550JK-DS71T 15.6-Inch Touchscreen Laptop,B00IAA5BSS,20
ASUS N550JV-DB72T 15.6-Inch Touchscreen Laptop (OLD VERSION),B00COQ4ETG,43
ASUS N61JQ-X1 16-Inch Versatile Entertainment Laptop (Dark Brown),B00352LQZS,58
ASUS NX90JQ-B2 18.4-Inch Versatile Entertainment Laptop (Silver Aluminum),B004C45D6Q,9
ASUS P43E-XH51 (14.1-Inch Screen) Laptop,B005PAK32U,5
"ASUS Q200E-BHI3T45 11.6"" Touchscreen, Intel Core i3 2365M, 4GB Memory 500GB HDD Windows 8 64-Bit Notebook",B00AD9NRIK,45
"ASUS Q550LF-BBI7T07 15.6"" Touch Screen 8GB Memory 1TB Hard Drive",B00GDHUZYK,7
"ASUS R503U-RH21 Laptop Computer,4GB Memory, 500GB Hard Drive, 15.6"", Windows 8",B009AF6DHU,10
"ASUS R510CA-RB51 15.6 Inch Laptop (1.8GHz Intel Core i5-3337U processor, 6GB RAM, 750GB Hard Drive, Windows 8)",B00CWIVQ06,9
ASUS ROG G750JH-DB71 17.3-Inch Laptop,B00EZ8BJNK,30
"ASUS ROG G750JM-DS71 17.3-inch Gaming Laptop, GeForce GTX 860M Graphics",B00IKF2H12,31
ASUS Republic of Gamers G51JX-A1 15.6-Inch Gaming Laptop (Blue),B0034NGZWM,80
ASUS Republic of Gamers G55VW-DH71 15.6-Inch Laptop,B009AEW5HI,6
ASUS Republic of Gamers G73JH-A1 17-Inch Gaming Laptop (Black),B0039825JE,67
"ASUS Republic of Gamers G75 Series G75VW-BHI7N07 Gaming Laptop / Intel Core i7 3630QM(2.40GHz) / 17.3"" 1080P / 8GB Memory / 1TB HDD / NVIDIA GeForce GTX 660M 2GB GDDR5 / Backlit keyboard",B00AYPNAP8,6
ASUS Republic of Gamers G75VW-AH71 17.3-Inch Gaming Laptop,B009M2XB3U,100
