Product,ProductID,Counts
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",B005U5AFOQ,23
*New* Htc Hd2 T-mobile Smartphone,B003JV4SEQ,5
"- 	 Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged",B004WLBTEY,172
"- 	 Sony Ericsson Satio (Black) Unlocked, International verison with no warranty",B002U0DUXM,14
"1.3"" Dual SIM Card Quad Band Touch Screen Watch Cell Phone with Bluetooth FM Camera",B004CWCUO6,7
"1.8"" Resistive Touch Screen AT&T T-Mobile Vodafone Unlocked Watch Cell Phone w Bluetooth/ Camera/ JAVA/ Torch - Black",B00GJKZF5K,2
"2.8"" Dual SIM Quadband SVP Q70 Black Touch Screen Phone (Unlocked)",B007KBJ02Q,10
2012 Newest Multifunctional 1.8 Inch Touch Screen Watch Cell Phone,B007SWUUDA,20
3D Hello Kitty Iphone Samsung Chargers 5S 4S S3 Ipad tablet (Portable External Universal Chargers) 8000MAH (Red),B00FF2OFYK,1
3D Hello Kitty Iphone Samsung Chargers 5S 4S S3 Ipad tablet (Portable Universal Chargers) 8000MAH (Light Pink),B00FF2OFYK,1
"4.0 Inch Haier W718 IP67 Waterproof Dustproof Shockproof Android 4.0 ice cream sandwich Budget SmartPhone MTK6575 1.0GHz 3G WIFI 5MP dual camera (Black,white)",B00C9WNKYU,2
"4.0"" Touch Screen Cell Phone GSM T-Mobile AT&T Unlocked Multifunction bar phone",B00HC50AFQ,11
4.0-Inch Lenovo A690 Unlocked Smartphone(800*480px) -Dual SIM Dual Standby Android WIFI GPS MTK6575 1.0GHz -Black,B00F37UOR4,1
"5"" 4GB JXD S5110 Capacitive Game Console 5inch Cortex A9 1GHz DDR3 512MB Android 4.0 Tablet PC Wifi TV-out HDMI OTG Support lots of Games - Black",B00ASHURMQ,9
5.0 inch JIAKE I9500W Android 4.2 3G Smartphone Dual Cameras MTK6582 Quad Core 1.3GHz 1GB 4GB WVGA Screen GPS (Black),B00GU5Q3CI,7
5.0 inch JIAKE I9500W Android 4.2 3G Smartphone Dual Cameras MTK6582 Quad Core 1.3GHz 1GB 4GB WVGA Screen GPS (White),B00GU5Q3CI,7
"5.0"" Inch Eson Original H9503 S4 Mtk6572 Cortex A9 Dual Core Android 4.2.2 Smart Phone Unlocked Bluetooth Back Camera 8.0mp 3g Wifi Grey Color",B00G2X1DUK,8
"5.0"" Inch Eson Original H9503 S4 Mtk6572 Cortex A9 Dual Core Three Sim, Three Standby (2 X SIM Card Slot and 1 X Micro SIM Card Slot) Android 4.2.2 Smart Phone Unlocked Bluetooth Back Camera 8.0mp 3g Wifi (dark blue)",B00G2X1DUK,20
"5.0"" Inch Eson Original H9503 S4 Mtk6572 Cortex A9 Dual Core Three Sim, Three Standby (2 X SIM Card Slot and 1 X Micro SIM Card Slot) Android 4.2.2 Smart Phone Unlocked Bluetooth Back Camera 8.0mp 3g Wifi (white)",B00G2X1DUK,20
5.3 Inch Feiteng H7100 Android 4.1 3g Smart Phone with QHD Screen GPS Dual SIM Dual Core 1ghz 8mp Camera 1gb RAM (Grey),B00APJNMKG,1
5.3 Inch Feiteng H7100 Android 4.1 3g Smart Phone with QHD Screen GPS Dual SIM Dual Core 1ghz 8mp Camera 1gb RAM (White),B00APJNMKG,7
