Product,ProductID,Counts
"10"" Android Tablet - 1GB Ram 1.5Ghz CPU WiFi Google Play Store Installed",B00GWUBXNA,2
"10"" GOOGLE ANDROID 4.0 TABLET 4GB FLYTOUCH 10.1 VC882 EPAD LAPTOP WIFI CAMERA HDMI Support External 3G, Flash 10.1 Cortex A8,WIFI, HDMI, Skype Video Calling &Netflix Movies",B008HSO41I,206
"10.1"" Android KITKAT 4.4.2 [QUAD Core] 32GB Tablet / 2GB RAM / Dual Cameras / Bluetooth / HDMI - PumpkinX",B00ITCEHAA,8
"10.1"" Inch Dual Core Android Tablet PC w/ 16GB+Dual Camera+HDMI+Bluetooth+Google Play-Pumpkin X",B00J4MAA2I,1
"2014 NEW Contixo Kids 7 Inch Android 4.2 Tablet PC - Dual Camera, RK3168 Dual-core 1.6GHz, 1GB RAM, 8GB HDD, HD 1024x600 Display Capactive Touch Screen, WiFi (Blue)",B00HWPTMIM,2
"2014 New Contixo 7.85"" Quad Core Processor 1.5GHz Google Android 4.2 Tablet PC, IPS Touch Screen 1024x768, Dual Webcams, Bluetooth, HDMI, Wifi, 16GB Flash Storage",B00I4BVCOK,5
"2014 Newest 9"" inch 3G sim card phone call tablet/Google android 4.0 Touch Screen Capacitive Mid,Dual Camera GPS WIFI Bluetooth, G Sensor Flash 11",B00CMAPHSQ,9
"4Sight Tablet with 4GB Memory 9"" | 4SPA0910C",B00BUTBAB8,5
"7 Inch Dual Core 1.2GHz Android 4.2.2 ProntoTec Tablet PC, Dual Camera(White)",B00HQ8C95I,1
"7 Inch FastTouch(TM) A13 GOOGLE Android 4.1 AllWinner Tablet PC, Boxchip Cortex A8 1.2Ghz MID Capacitive Touch Screen G-Sensor WiFi, Camera, Skype Video Calling, Netflix Movies, 4GB BLUE",B00DP4FN3W,30
"7"" .TAB Nero x2 Dual Core Android 4.1 Multi-Touch Tablet PC (Black)",B00DHO2YK0,130
"7"" HKC 16GB Dual Core Tablet with Android 4.1 & Google Mobile Apps & Capacitive Multi-Touch Screen P774A",B00E3JJZ5U,5
"7"" Tablet Pc Pink Android 4.0 Allwinner A13 1.2ghz Capacitive Screen Flash 11.1 Wifi Camera 512mb /4gb",B008Z2QD24,5
"7"" Zeepad 7.0 Allwinnwer A13 Boxchip Cortex A8 Android 4.2, 4GB Capacity, 512 MB RAM, Multiple Touch Capactive screen, WIFI, Camera, Skype Video Calling, Netflix Movies. (7'' Dual Camera, Cobalt Blue)",B00DCE8JFY,1290
"7"" dual camera Capacitive Google Android A13 MID WIFI PAD Tablet PC Netbook Notebook 4GB WT",B00CAK9PKE,5
"8 GB Tablet - 9"" - 1.10 GHz - Black",B00F0R92M0,2
8.9 Inch Pipo M7 Pro External 3g Android 4.2 Rk3188 1.6ghz Retina 1920x1200 Bluetooth GPS Hdmi 5.0mp Camera--wifi Version,B00ECV0W3I,5
